datetime,open,high,low,close,volume
2025-05-01 04:00:00,5647.0,5647.75,5642.25,5642.5,1749
2025-05-01 04:30:00,5643.0,5644.75,5642.0,5644.0,2011
2025-05-01 05:00:00,5644.25,5649.0,5640.5,5647.75,3696
2025-05-01 05:30:00,5647.75,5653.25,5640.5,5641.25,4466
2025-05-01 06:00:00,5641.5,5646.25,5639.5,5645.75,3291
2025-05-01 06:30:00,5645.75,5648.0,5639.0,5639.75,4282
2025-05-01 07:00:00,5639.75,5648.5,5635.0,5647.25,7141
2025-05-01 07:30:00,5647.25,5650.0,5644.0,5644.75,4426
2025-05-01 08:00:00,5644.75,5646.0,5637.5,5645.25,7414
2025-05-01 08:30:00,5645.5,5652.5,5642.5,5651.5,4959
2025-05-01 09:00:00,5651.75,5656.5,5650.25,5655.0,4371
2025-05-01 09:30:00,5655.0,5662.0,5654.5,5660.25,5701
2025-05-01 10:00:00,5660.5,5662.25,5654.75,5655.5,5320
2025-05-01 10:30:00,5655.5,5655.75,5648.0,5652.25,8066
2025-05-01 11:00:00,5652.25,5658.75,5645.5,5647.75,11184
2025-05-01 11:30:00,5647.75,5658.0,5647.5,5654.75,7868
2025-05-01 12:00:00,5654.5,5659.75,5645.0,5645.75,11715
2025-05-01 12:30:00,5645.5,5650.0,5636.5,5639.5,20727
2025-05-01 13:00:00,5639.5,5648.75,5634.75,5645.0,21287
2025-05-01 13:30:00,5645.0,5654.75,5627.25,5629.0,126014
2025-05-01 14:00:00,5630.75,5663.5,5629.0,5661.5,108804
2025-05-01 14:30:00,5661.5,5675.5,5652.5,5675.0,88574
2025-05-01 15:00:00,5675.0,5682.5,5668.0,5674.0,88544
2025-05-01 15:30:00,5674.0,5675.75,5637.75,5645.0,77590
2025-05-01 16:00:00,5644.75,5653.75,5631.5,5644.0,76960
2025-05-01 16:30:00,5644.0,5650.75,5632.5,5637.5,56181
2025-05-01 17:00:00,5637.5,5660.75,5637.0,5654.5,49883
2025-05-01 17:30:00,5654.5,5658.5,5639.75,5646.75,42106
2025-05-01 18:00:00,5646.75,5664.75,5645.5,5660.5,53715
2025-05-01 18:30:00,5660.25,5668.25,5657.5,5658.5,44735
2025-05-01 19:00:00,5658.5,5662.5,5649.5,5661.75,54168
2025-05-01 19:30:00,5661.75,5665.75,5618.75,5625.0,159399
2025-05-01 20:00:00,5625.0,5639.0,5601.75,5618.5,70306
2025-05-01 20:30:00,5619.25,5628.0,5605.75,5611.75,16794
2025-05-01 22:00:00,5608.5,5612.5,5601.0,5610.5,3835
2025-05-01 22:30:00,5610.5,5613.0,5607.0,5610.0,1788
2025-05-01 23:00:00,5609.75,5618.75,5608.25,5617.0,1890
2025-05-01 23:30:00,5617.0,5617.0,5608.25,5611.75,2161
2025-05-02 00:00:00,5611.75,5636.0,5605.5,5635.25,8082
2025-05-02 00:30:00,5635.25,5663.25,5633.75,5658.5,15275
2025-05-02 01:00:00,5658.0,5672.5,5654.25,5665.5,10572
2025-05-02 01:30:00,5665.5,5671.25,5659.0,5662.0,5808
2025-05-02 02:00:00,5662.0,5665.75,5655.0,5663.25,5026
2025-05-02 02:30:00,5663.75,5669.5,5659.5,5666.75,3294
2025-05-02 03:00:00,5667.0,5669.0,5666.0,5667.0,4089
2025-05-02 03:30:00,5667.0,5670.75,5666.0,5667.75,2058
2025-05-02 04:00:00,5670.5,5671.75,5664.25,5666.25,4016
2025-05-02 04:30:00,5666.5,5670.5,5664.75,5668.0,2097
2025-05-02 05:00:00,5668.25,5669.25,5658.75,5662.0,3503
2025-05-02 05:30:00,5662.25,5665.0,5656.75,5659.0,2685
2025-05-02 06:00:00,5659.0,5659.0,5648.5,5652.5,5400
2025-05-02 06:30:00,5652.5,5655.0,5646.75,5654.0,4150
2025-05-02 07:00:00,5654.25,5662.25,5652.5,5658.25,10414
2025-05-02 07:30:00,5658.25,5658.25,5647.75,5648.25,6269
2025-05-02 08:00:00,5648.0,5654.0,5642.5,5652.75,7798
2025-05-02 08:30:00,5652.5,5657.0,5635.5,5635.75,7684
2025-05-02 09:00:00,5635.75,5646.0,5633.5,5642.25,6269
2025-05-02 09:30:00,5642.5,5651.25,5640.5,5646.75,5050
2025-05-02 10:00:00,5646.5,5652.5,5644.25,5651.5,4913
2025-05-02 10:30:00,5651.5,5653.25,5645.75,5648.75,5252
2025-05-02 11:00:00,5648.75,5653.5,5645.75,5646.5,6177
2025-05-02 11:30:00,5646.5,5647.75,5640.0,5643.25,8304
2025-05-02 12:00:00,5643.25,5649.75,5641.25,5649.25,11090
2025-05-02 12:30:00,5649.75,5692.75,5647.0,5690.5,51637
2025-05-02 13:00:00,5690.5,5699.0,5684.75,5686.5,38143
2025-05-02 13:30:00,5686.75,5694.75,5663.0,5676.0,123104
2025-05-02 14:00:00,5676.0,5703.75,5672.0,5703.25,97555
2025-05-02 14:30:00,5703.5,5703.5,5687.5,5698.25,77653
2025-05-02 15:00:00,5698.5,5702.25,5685.25,5686.75,64921
2025-05-02 15:30:00,5687.0,5704.75,5684.75,5703.0,59438
2025-05-02 16:00:00,5703.0,5720.25,5702.0,5712.75,100036
2025-05-02 16:30:00,5713.0,5721.5,5712.25,5715.75,46478
2025-05-02 17:00:00,5715.75,5718.75,5704.0,5708.5,51892
2025-05-02 17:30:00,5708.5,5716.75,5705.5,5713.0,39509
2025-05-02 18:00:00,5713.0,5720.5,5712.0,5717.5,34872
2025-05-02 18:30:00,5717.25,5724.75,5705.0,5711.75,59200
2025-05-02 19:00:00,5711.5,5719.5,5702.0,5716.25,63273
2025-05-02 19:30:00,5716.25,5718.25,5700.25,5705.75,188658
2025-05-02 20:00:00,5706.0,5714.5,5705.0,5709.5,44153
2025-05-02 20:30:00,5709.5,5711.0,5705.75,5710.5,9188
2025-05-04 22:00:00,5705.0,5705.25,5689.25,5691.0,5035
2025-05-04 22:30:00,5691.5,5694.5,5685.0,5687.0,2920
2025-05-04 23:00:00,5686.75,5689.5,5683.0,5684.0,3369
2025-05-04 23:30:00,5683.75,5686.25,5671.0,5678.0,6159
2025-05-05 00:00:00,5678.25,5682.0,5675.75,5681.25,3534
2025-05-05 00:30:00,5681.25,5683.0,5678.5,5681.0,2661
2025-05-05 01:00:00,5681.0,5681.0,5672.75,5673.0,2772
2025-05-05 01:30:00,5673.0,5673.75,5660.25,5662.0,7429
2025-05-05 02:00:00,5661.75,5669.25,5660.75,5668.0,3526
2025-05-05 02:30:00,5668.0,5670.0,5665.0,5667.5,2314
2025-05-05 03:00:00,5667.5,5669.75,5663.0,5663.75,3858
2025-05-05 03:30:00,5663.75,5673.0,5662.75,5669.5,3186
2025-05-05 04:00:00,5669.75,5670.25,5662.5,5666.0,2278
2025-05-05 04:30:00,5666.0,5668.75,5663.0,5664.25,1606
2025-05-05 05:00:00,5664.25,5673.25,5664.25,5670.0,2488
2025-05-05 05:30:00,5670.25,5672.25,5667.25,5670.25,1531
2025-05-05 06:00:00,5670.25,5676.25,5670.25,5675.5,2910
2025-05-05 06:30:00,5675.5,5680.5,5671.5,5672.75,5199
2025-05-05 07:00:00,5672.5,5673.25,5666.0,5670.25,5578
2025-05-05 07:30:00,5670.0,5673.25,5667.25,5670.75,3323
2025-05-05 08:00:00,5671.0,5675.5,5670.0,5671.0,4053
2025-05-05 08:30:00,5671.0,5671.0,5655.25,5659.5,6903
2025-05-05 09:00:00,5659.25,5666.0,5655.25,5665.0,5097
2025-05-05 09:30:00,5665.0,5668.5,5662.5,5664.25,4567
2025-05-05 10:00:00,5664.25,5667.25,5661.5,5663.25,4640
2025-05-05 10:30:00,5663.0,5667.0,5660.0,5665.75,4003
2025-05-05 11:00:00,5666.0,5667.5,5662.5,5663.5,5026
2025-05-05 11:30:00,5663.5,5666.75,5656.25,5660.5,6686
2025-05-05 12:00:00,5660.5,5667.5,5657.25,5664.0,7316
2025-05-05 12:30:00,5664.0,5665.75,5659.0,5664.75,8424
2025-05-05 13:00:00,5664.75,5670.0,5662.25,5664.5,15847
2025-05-05 13:30:00,5664.25,5672.5,5655.25,5669.25,85160
